,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd
126,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,2,1979.3083
127,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,2,2169.518
128,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,2,2060.9895
129,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,2,2037.7512
130,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,3,1415.8733
131,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,3,1993.4119
132,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,3,2119.4172
133,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,3,2043.102
134,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,3,2033.3667
135,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,4,1410.6053
136,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,4,2008.5374
137,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,4,2128.1426
138,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,4,2034.1188
139,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,4,2034.3663
140,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,1,1541.6636
141,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,1,1982.0615
142,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,1,2179.3403
143,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,1,2140.5815
144,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,1,2069.072
145,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,2,1522.7312
146,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,2,1946.4718
147,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,2,2170.6191
148,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,2,2158.0742
149,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,2,2100.9395
150,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,3,1487.4321
151,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,3,1874.3171
152,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,3,2154.8032
153,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,3,2115.0645
154,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,3,2080.4255
155,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,4,1481.5284
156,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,4,1870.2056
157,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,4,2131.607
158,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,4,2132.1577
159,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,4,2022.0388
160,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,1,1331.7986
161,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,1,1703.1956
162,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,1,1952.7405
163,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,1,2132.04
164,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,1,1822.772
165,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,2,1321.2617
166,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,2,1732.7258
167,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,2,2017.314
168,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,2,2163.9636
169,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,2,1981.7832
170,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,3,1292.6758
171,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,3,1649.5308
172,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,3,1913.573
173,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,3,1981.6777
174,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,3,2008.0598
175,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,4,1291.1335
176,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,4,1653.1182
177,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,4,2004.5203
178,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,4,2082.6108
179,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,4,1972.5028
180,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,1,1056.4353
181,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,1,1641.759
182,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,1,1997.1794
183,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,1,2093.9458
184,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,1,1975.541
185,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,2,1127.4282
186,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,2,1473.8721
187,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,2,2016.7064
188,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,2,2141.3936
189,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,2,1895.6599
190,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,3,1091.515
191,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,3,1587.5981
192,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,3,1995.8784
193,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,3,2207.8682
194,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,3,2114.138
195,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,4,1109.5261
196,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,4,1517.5627
197,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,4,2095.921
198,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,4,2253.812
199,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,4,2038.1552
200,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,1,1649.0583
