,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd,mmd_ratio,label
126,"tensor(0.1605, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,2,0.001697336512004148,22.043891881619256,126
127,"tensor(0.1605, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,2,0.004886115003462033,22.094429639230924,127
128,"tensor(0.1605, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,2,0.0035017537373116525,36.18852742363386,128
129,"tensor(0.1605, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,2,0.0018601157596661588,15.519430254807578,129
130,"tensor(0.1605, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,3,0.0015512590888577468,4.7895915872157415,130
131,"tensor(0.1605, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,3,0.001781567746354698,18.817109131816473,131
132,"tensor(0.1605, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,3,0.00510175359029319,20.83635446825047,132
133,"tensor(0.1605, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,3,0.0032166069646155093,41.7539852830527,133
134,"tensor(0.1605, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,3,0.0009493972409777562,30.31837297212569,134
135,"tensor(0.1605, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,4,0.0016754290550457206,4.108989115531546,135
136,"tensor(0.1605, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,4,0.0019292723161068656,16.42105187825378,136
137,"tensor(0.1605, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,4,0.004746486778862025,22.101119935352532,137
138,"tensor(0.1605, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,4,0.003863092900800169,35.85090382639005,138
139,"tensor(0.1605, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,4,-0.00018842270545804674,-152.33832700492127,139
140,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,1,0.001651219393650722,8.921486025821117,140
141,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,1,0.0007914253758807277,60.77587027900832,141
142,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,1,0.0008773059078427126,121.20361983945465,142
143,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,1,0.0009727057268383854,112.08803708745226,143
144,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,1,0.0007591550404772995,37.821248989163394,144
145,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,2,0.0018312843974798102,4.793369101787591,145
146,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,2,0.0010330911142078444,36.217427526742426,146
147,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,2,0.0012794322719837936,84.37799054872512,147
148,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,2,0.0009544386025117646,132.77261713851632,148
149,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,2,0.0034362396842796405,8.401025379595755,149
150,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,3,0.0019198834669425235,3.869973156973622,150
151,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,3,0.0010179991948899708,32.931219275182315,151
152,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,3,0.0016978387664437489,62.610153754278926,152
153,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,3,0.0006819847331627771,196.93426162058148,153
154,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,3,0.00028171555973988127,102.1746178210683,154
155,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,4,0.0018976540880139645,3.6278054016857837,155
156,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,4,0.0009847391237254657,32.171648334855725,156
157,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,4,0.0012584859901732526,83.35625059819142,157
158,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,4,0.0015989116805095738,86.61852543028425,158
159,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,4,-6.251692245107243e-05,-459.13967920740936,159
160,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,1,0.00367590280267149,4.0075408782064725,160
161,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,1,0.0030021055234042693,16.021943800796016,161
162,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,1,0.0012920564579366467,82.29721780647573,162
163,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,1,5.078538980629599e-05,2146.8512105724076,163
